NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID;dataset_type;LAT;LON
Ôxximydog;5.0;4 comentários;R. Raimundo Arruda, 64 - Parquelândia, Fortaleza - CE, 60450-500;Restaurante;;restaurante;restaurante;-3.7339132;-38.5521407
Restaurante Mariano da Picanha;4.0;1.231 comentários;Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010;$$;;restaurante;restaurante;-3.7247532;-38.5040675
Delicias da Iaiá;4.4;5 comentários;Rua Dr. Ribamar Lobo, N° 20 - Papicu, Fortaleza - CE, 60176-145;Restaurante brasileiro;10-45 min;restaurante;restaurante;-3.7448786;-38.4674477
Cocina 378;4.7;510 comentários;R. Vilebaldo Aguiar, 378 - Cocó, Fortaleza - CE, 60192-010;$$$;1-2,5 horas;restaurante;restaurante;-3.7418699;-38.4846125
Quintal Restaurante;4.6;350 comentários;Av. Desembargador Moreira, 533 - Meireles, Fortaleza - CE, 60170-000;$$$;45 min a 1,5 h;restaurante;restaurante;-3.7311255;-38.4964085
Cemoara Restaurante;4.4;54 comentários;R. Joaquim Nabuco, 166 - Meireles, Fortaleza - CE, 60125-120;Restaurante de frutos do mar;;restaurante;restaurante;-3.7266455;-38.4987703
Santa Grelha;4.7;1.799 comentários;R. Tibúrcio Cavalcante, 790 - Meireles, Fortaleza - CE, 60125-100;$$$;1-2,5 horas;restaurante;restaurante;-3.7316501;-38.5012789
Cabaña Del Primo;4.7;1.313 comentários;R. Maria Tomásia, 503 - Aldeota, Fortaleza - CE, 60170-001;$$$;10 min a 1,5 h;restaurante;restaurante;-3.7351457;-38.4977437
Balcony Bistro;4.8;227 comentários;R. Frederico Borges, 616 - Meireles, Fortaleza - CE, 60175-040;$$;;restaurante;restaurante;-3.73515;-38.48933
Restaurante Mucuripe;4.6;189 comentários;Av. Beira Mar, 3980 - Mucuripe, Fortaleza - CE, 60165-121;Restaurante de frutos do mar;1-3 horas;restaurante;restaurante;-3.7238739;-38.4853987
Restaurante Marquês da Varjota;4.6;1.114 comentários;R. Frederico Borges, 426 - Meireles, Fortaleza - CE, 60175-040;$$$;1-2,5 horas;restaurante;restaurante;-3.7333422;-38.489436
Restaurante 44;4.4;522 comentários;R. Joaquim Nabuco, 1224 - Aldeota, Fortaleza - CE, 60125-055;$$;30 min a 1 h;restaurante;restaurante;-3.7392378;-38.5025621
Butcher's 746: Steakhouse, Carnes Nobres, Churrasco, Delivery, Restaurante, Fortaleza CE;4.6;699 comentários;R. Maria Tomásia, 746 - Aldeota, Fortaleza - CE, 60150-170;$$$;1-2 horas;restaurante;restaurante;-3.7360203;-38.4955919
Casa Beá Restaurante;4.3;82 comentários;Av. Desembargador Moreira, 615 A - Meireles, Fortaleza - CE, 60170-055;Restaurante;;restaurante;restaurante;-3.7316736;-38.4967065
